Gene,loci,Training_Score,XGB_Score,Median_Pvalue,Gene_type,rsID_LEAD_SNP,minTRAIT
RP11-77K12.1,5,,0.613744854927063,0.00000000000000000000000000000358,protein_coding,NA,"PP,SBP"
TMEM170A,5,,0.688401937484741,0.00000000000000000000000000003365,protein_coding,NA,"PP,SBP"
CSPG5,6,,0.516275763511658,,protein_coding,NA,""
SMARCC1,6,,0.790616273880005,0.0000000000000000000000168,protein_coding,NA,DBP
PTK2,7,,0.847569644451141,0.000000000000149,protein_coding,"rs10087782, rs11777688, rs11781072","SBP, DBP"
UBE2E3,8,,0.761579513549805,0.00000000000195,protein_coding,NA,DBP
AHSA2,9,,0.54402631521225,0.000000005905,protein_coding,NA,DBP
USP34,9,,0.736316382884979,0.000000000375,protein_coding,NA,DBP
XPO1,9,,0.762992978096008,0.000000000222,protein_coding,NA,DBP
USP38,10,,0.862693965435028,0.0000000000164,protein_coding,NA,"DBP,SBP"
COL4A4,11,,0.867690682411194,0.00006415,protein_coding,"rs10182307, rs2229813","DBP,SBP"
RHBDD1,11,,0.776910841464996,0.0000289,protein_coding,rs3820928,DBP
AHCTF1P1,12,,0.634623646736145,0.000000001085,pseudogene,NA,SBP
SLC4A10,12,,0.773211598396301,0.00000000101,protein_coding,NA,SBP
TBR1,12,,0.605970680713654,0.000000000115,protein_coding,rs55732192,SBP
FHL5,13,,0.77106899023056,0.0000000000000000000548,protein_coding,rs2971603,SBP
UFL1,13,,0.837252140045166,0.000000000000000000156,protein_coding,NA,SBP
UFL1-AS1,13,,0.13452060520649,0.00000000000000000204,antisense,"rs4265039, rs35410524",SBP
BNC1,14,,0.707952320575714,0.0000000275,protein_coding,rs4480763,DBP
BTBD1,14,,0.835766911506653,0.000000236,protein_coding,NA,DBP
C15orf40,14,,0.342609614133835,0.000000365,protein_coding,NA,"PP,DBP"
HDGFRP3,14,,0.482273668050766,0.0000000364,protein_coding,rs2034618,"DBP,PP"
HOMER2,14,,0.694382011890411,0.000000268,protein_coding,NA,"PP,DBP"
TM6SF1,14,,0.586708307266235,0.0000000572,protein_coding,rs2034618,DBP
DPY19L2P4,15,,0.3939009308815,0.00000000000027,pseudogene,NA,"PP, DBP"
STEAP1,15,,0.570065796375275,0.000000000000005775,protein_coding,NA,PP
STEAP2,15,,0.724978566169739,0.00000000000001105,protein_coding,"rs11770630, rs10270950, rs194520, rs194524",PP
STEAP2-AS1,15,,0.245332434773445,0.0000000000000806,processed_transcript,"rs11770630, rs10270950","PP,DBP"
FUT10,16,,0.759059846401215,0.00000000332,protein_coding,rs7845722,PP
MAK16,16,,0.821401953697205,0.000000005705,protein_coding,NA,PP
TTI2,16,,0.775147795677185,0.00000000415,protein_coding,rs2037213,PP
RABGAP1,17,,0.792752325534821,0.00000000000000000363,protein_coding,"rs10818775, rs700082",PP
RC3H2,17,,0.821778655052185,0.0000000000000000145,protein_coding,NA,PP
STRBP,17,,0.79692417383194,0.0000000000000000341,protein_coding,NA,PP
ZBTB26,17,,0.69589102268219,0.0000000000000000263,protein_coding,NA,PP
CCDC77,18,,0.723247528076172,0.0000000000299,protein_coding,NA,SBP
KDM5A,18,,0.819124162197113,0.0000000000651,protein_coding,rs78998485,SBP
CALML4,19,,0.596860229969025,0.0000000851,protein_coding,NA,DBP
CLN6,19,,0.624647557735443,0.0000001165,protein_coding,NA,DBP
PIAS1,19,,0.791966736316681,0.0000000835,protein_coding,rs62004794,DBP
RP11-315D16.2,19,,0.0999799519777298,0.000000067,protein_coding,NA,DBP
OLA1,20,,0.687561392784119,0.00000000182,protein_coding,"rs11694601, rs10048760",SBP
PPP2R5E,21,,0.821401953697205,0.0000001865,protein_coding,rs8016306,SBP
LHFPL2,22,,0.66450971364975,0.0000000000000000298,protein_coding,"rs6453400, rs10057188, rs890745",PP
EPB41,23,0.75,0.815658867359161,0.000000017,protein_coding,NA,DBP
MECR,23,,0.750400304794312,0.0000000004415,protein_coding,rs1565716,DBP
PTPRU,23,,0.788260817527771,0.00000000114,protein_coding,NA,DBP
SRSF4,23,,0.744116485118866,0.000000000819,protein_coding,NA,DBP
TMEM200B,23,,0.790335178375244,0.000000006585,protein_coding,NA,DBP
UNC5C,24,,0.851226985454559,0.00000169,protein_coding,NA,SBP
DIRC1,25,,0.102194614708424,0.00000134,protein_coding,rs11901929,PP
PPP2R1B,26,,0.857397973537445,0.000000000871,protein_coding,NA,DBP
SIK2,26,0.75,0.786218583583832,0.00000000383,protein_coding,rs12362593,DBP
MTCO3P1,27,,0.102194614708424,0.000000000000000000000000000000000000082,pseudogene,NA,DBP
DLEU2,28,,0.516418755054474,0.00000007885,processed_transcript,NA,DBP
KCNRG,28,,0.406136214733124,0.00000001015,protein_coding,NA,DBP
SPRYD7,28,,0.661515831947327,0.00000000774,protein_coding,NA,DBP
TRIM13,28,0.75,0.664763808250427,0.00000000893,protein_coding,NA,DBP
CNOT1,29,,0.786839306354523,0.000000001435,protein_coding,"rs37060, rs7188697",PP
NDRG4,29,,0.586685359477997,,protein_coding,NA,""
SETD6,29,,0.880295217037201,0.000000000966,protein_coding,rs1646010,PP
FAM186B,30,,0.50710654258728,0.0000000145,protein_coding,rs7977389,PP
KCNH3,30,0.75,0.77385151386261,0.0000000164,protein_coding,NA,PP
MCRS1,30,,0.763214945793152,0.0000000105,protein_coding,NA,PP
PRPF40B,30,,0.662407159805298,0.0000000137,protein_coding,rs7977389,PP
CYP11B1,31,0.75,0.8273805975914,0.0000000000000000837,protein_coding,NA,DBP
CYP11B2,31,1,0.810853779315949,0.0000000000000000134,protein_coding,NA,DBP
GML,31,,0.158880859613419,0.0000000000000000643,protein_coding,NA,DBP
OR4A11P,32,,0.102194614708424,0.0000000000000000000275,pseudogene,NA,SBP
OR4A13P,32,,0.102194614708424,0.00000000000000000011635,pseudogene,NA,SBP
OR4A14P,32,,0.102194614708424,0.0000000000000000000486,pseudogene,NA,SBP
OR4A15,32,,0.102194614708424,0.0000000000000000000896,protein_coding,NA,SBP
OR4A16,32,,0.152434289455414,0.00000000000000000001415,protein_coding,rs75905900,SBP
OR4A17P,32,,0.102194614708424,0.000000000000000000083,pseudogene,NA,SBP
OR4A50P,32,,0.102194614708424,0.0000000000000000000889,pseudogene,NA,SBP
OR4A9P,32,,0.102194614708424,0.0000000000000000000526,pseudogene,NA,SBP
OR4C11,32,,0.152434289455414,0.00000000000000000421,protein_coding,NA,SBP
OR4C15,32,,0.165922865271568,0.00000000000000000009025,protein_coding,NA,SBP
OR4C16,32,,0.102194614708424,0.000000000000000000129,protein_coding,NA,SBP
OR4C6,32,,0.152434289455414,0.000000000000000000235,protein_coding,NA,SBP
OR4P1P,32,,0.102194614708424,0.0000000000000000277,pseudogene,NA,SBP
OR4S2,32,,0.10479087382555,0.000000000000000010165,protein_coding,NA,SBP
OR4X7P,32,,0.102194614708424,0.00000000000000000034,pseudogene,NA,SBP
OR5D13,32,,0.182725802063942,0.00000000000000000132,protein_coding,NA,SBP
OR5D14,32,,0.107716366648674,0.0000000000000000013885,protein_coding,NA,SBP
OR5D15P,32,,0.102194614708424,0.000000000000000002835,pseudogene,NA,SBP
OR5D17P,32,,0.102194614708424,0.00000000000000000104,pseudogene,NA,SBP
OR5D2P,32,,0.102194614708424,0.0000000000000000007805,pseudogene,NA,SBP
TRIM48,32,,0.165922865271568,0.0000000000000000000519,protein_coding,NA,SBP
TRIM51HP,32,,0.102194614708424,0.0000000000000000000428,pseudogene,NA,SBP
CNTF,33,0.75,0.699835479259491,0.0000000000000000000165,protein_coding,NA,SBP
GLYAT,33,,0.819505095481873,0.0000000000000000000101,protein_coding,NA,SBP
LPXN,33,,0.440701335668564,0.0000000000000000000647,protein_coding,NA,SBP
OR5B12,33,,0.0812948271632195,0.0000000000000000317,protein_coding,rs11229457,SBP
OR5B2,33,,0.105120107531548,0.00000000000000000904,protein_coding,NA,SBP
OR5B21,33,,0.143445074558258,0.000000000000000000334,protein_coding,NA,SBP
ZFP91,33,,0.748116850852966,0.0000000000000000000787,protein_coding,NA,SBP
BANP,34,,0.762249231338501,0.000000000715,protein_coding,rs6540125,SBP
GLE1,35,,0.832039296627045,0.00000084,protein_coding,NA,PP
ODF2,35,,0.610837519168854,0.000000324,protein_coding,NA,PP
GXYLT1,36,,0.803652346134186,0.0000000004545,protein_coding,rs7965392,DBP
PPHLN1,36,,0.900176584720612,0.00000008935,protein_coding,NA,DBP
PRICKLE1,36,,0.752154529094696,0.000000163,protein_coding,NA,DBP
YAF2,36,,0.800249576568604,0.0000000012,protein_coding,NA,DBP
ZCRB1,36,,0.673258364200592,0.0000000604,protein_coding,NA,DBP
AUTS2,37,,0.783785998821259,0.00000143,protein_coding,rs2222544,DBP
EDEM2,38,,0.853789269924164,0.0009724,protein_coding,rs867186,"PP, DBP"
GDF5,38,,0.680076658725739,0.00000000006815,protein_coding,NA,PP
GDF5OS,38,,0.13452060520649,0.00000000131745,protein_coding,NA,PP
PROCR,38,,0.51418673992157,0.0003834,protein_coding,rs867186,PP
TRPC4AP,38,,0.745051145553589,0.001118,protein_coding,NA,PP
UQCC1,38,,0.693793714046478,0.000000000123,protein_coding,NA,PP
BCKDHB,39,,0.704852879047394,0.000000059,protein_coding,rs7753695,DBP
STK39,40,0.75,0.822003185749054,0.07475,protein_coding,rs6749447,"SBP,PP"
XPR1,41,,0.819676637649536,0.000000000000356,protein_coding,rs1043069,SBP
ASPN,42,,0.891687035560608,0.0000000239,protein_coding,NA,PP
BEND3P2,42,,0.102194614708424,0.0000009745,pseudogene,NA,PP
CENPP,42,,0.665793597698212,0.0000000232,protein_coding,"rs2761679, rs7045409","PP, SBP"
ECM2,42,,0.819505095481873,0.00000004835,protein_coding,NA,"PP,SBP"
IARS,42,,0.813214123249054,0.0000000597,protein_coding,NA,"PP,SBP"
NOL8,42,,0.779572010040283,0.0000000416,protein_coding,NA,PP
OGN,42,,0.641703963279724,0.0000000144,protein_coding,NA,"SBP, PP"
OMD,42,,0.573656558990479,0.00000000946,protein_coding,rs2761679,SBP
ACMSD,43,,0.841514647006989,0.0000000001355,protein_coding,"rs4954192, rs6714498",DBP
CCNT2,43,,0.795983910560608,0.000000000245,protein_coding,NA,DBP
CCNT2-AS1,43,,0.378274381160736,0.000000000156,antisense,"rs4954192, rs6714498",DBP
MAP3K19,43,,0.547129213809967,0.000000000487,protein_coding,NA,DBP
JMJD1C,44,,0.781917095184326,0.00000000000000006345,protein_coding,NA,DBP
JMJD1C-AS1,44,,0.318759918212891,0.0000000000000000559,antisense,NA,DBP
REEP3,44,,0.552023470401764,0.00000000000000000945,protein_coding,"rs7090758, rs7910951",DBP
CMSS1,45,,0.679690778255463,0.000000004915,protein_coding,"rs56233205, rs9860290, rs11537816",PP
COL8A1,45,,0.8423792719841,0.00000005855,protein_coding,NA,PP
FILIP1L,45,,0.91496878862381,0.00000000498,protein_coding,rs56233205,PP
BANF1P5,46,,0.102194614708424,0.000000527,pseudogene,NA,PP
BCAP29,46,,0.49327427148819,0.00000324,protein_coding,NA,PP
COG5,46,,0.853794753551483,0.00000206,protein_coding,"rs67183972, rs115172170",PP
DUS4L,46,,0.790506303310394,0.00000625,protein_coding,NA,PP
SLC26A4,46,,0.645552515983582,0.000000494,protein_coding,NA,PP
SLC26A4-AS1,46,,0.310176014900208,0.000000649,antisense,NA,PP
WBP1LP2,46,,0.514916479587555,0.000000348,pseudogene,NA,PP
TRPM7,47,,0.871490359306335,0.00000000000000008015,protein_coding,"rs2899463, rs12906409",PP
USP50,47,,0.798131704330444,0.000000000000000364,protein_coding,rs3098186,PP
TMEM131,48,,0.722506105899811,0.00000000486,protein_coding,NA,DBP
ZAP70,48,0.75,0.760144770145416,0.00000000433,protein_coding,rs4851462,DBP
OR4A2P,49,,0.102194614708424,0.000000000000000113,pseudogene,NA,SBP
OR4A5,49,,0.102194614708424,0.000000000000000529,protein_coding,NA,SBP
OR4A6P,49,,0.102194614708424,0.0000000000000009105,pseudogene,NA,SBP
OR4A7P,49,,0.102194614708424,0.000000000000000436,pseudogene,NA,SBP
OR4C46,49,,0.162512540817261,0.000000000000000024035,protein_coding,rs77689730,SBP
OR4C50P,49,,0.102194614708424,0.0000000000000000114,pseudogene,NA,SBP
OR4C7P,49,,0.102194614708424,0.000000000000000005535,pseudogene,NA,SBP
CACNA2D2,50,1,0.881308913230896,0.00000000261,protein_coding,rs743757,DBP
MXI1,51,,0.826900124549866,0.0000003135,protein_coding,rs111777102,DBP
SMNDC1,51,,0.819108486175537,0.000000529,protein_coding,NA,DBP
DCDC1,52,,0.852129280567169,0.0000000251,protein_coding,"rs273592, rs61878206, rs919045",DBP
FTO,53,0.75,0.694271981716156,0.0002443,protein_coding,"rs11642015, rs62033406","PP, DBP"
NEK6,54,,0.779961407184601,0.00000001065,protein_coding,rs7861040,SBP
ATP5B,55,,0.315569311380386,0.00000000000728,protein_coding,NA,DBP
BAZ2A,55,,0.785191357135773,0.000000000000119,protein_coding,NA,DBP
ARMC4,56,,0.777467131614685,0.00000000000000076,protein_coding,"rs7893462, rs3802517",SBP
ARHGEF26,57,,0.921314120292664,0.00000000000163,protein_coding,rs357489,DBP
ARHGEF26-AS1,57,,0.353619664907455,0.00000000000343,processed_transcript,NA,DBP
RPL21P42,57,,0.102194614708424,0.000000000000145,pseudogene,NA,DBP
CDKN2C,58,,0.784832179546356,0.0000000000974,protein_coding,NA,"DBP, PP"
DMRTA2,58,,0.125017687678337,0.00000000000442,protein_coding,NA,PP
FAF1,58,,0.799986779689789,0.0000000000364,protein_coding,"rs147696085, rs12095997","PP,DBP"
CCBL2,59,,0.45047914981842,0.0000000000000000007985,protein_coding,NA,SBP
GTF2B,59,,0.793077647686005,0.0000000000000000000355,protein_coding,"rs12035750, rs10922502",SBP
PKN2,59,,0.813127994537354,,protein_coding,rs10922492,SBP
RERG,60,,0.875810384750366,0.0000000006165,protein_coding,rs7313556,"DBP, PP"
TMEM108,61,,0.749703586101532,0.0000000278,protein_coding,"rs9875380, rs4854572",SBP
LRRC69,62,,0.434148997068405,0.0000000000000000025,protein_coding,"rs7009170, rs11991823",PP
SLC26A7,62,,0.725736141204834,0.0000000000000000377,protein_coding,rs10956797,PP
TBL1XR1,63,,0.80984091758728,0.000000865,protein_coding,NA,PP
MSI1,64,,0.800797343254089,0.00000000009245,protein_coding,NA,DBP
NME2P1,64,,0.46861657500267,0.000000000105,pseudogene,NA,DBP
PLA2G1B,64,0.75,0.795679688453674,0.000000000176,protein_coding,NA,DBP
RPS27P25,64,,0.146227240562439,0.00000000000249,pseudogene,rs3898618,DBP
SIRT4,64,,0.788621962070465,0.0000000000265,protein_coding,NA,DBP
SULT1C3,65,,0.165922865271568,0.000002515,protein_coding,rs6722745,DBP
PIP5K1B,66,,0.772706806659699,0.000052,protein_coding,rs7042283,SBP
DYSF,67,,0.873928129673004,0.000000000175,protein_coding,NA,PP
ZNF638,67,,0.802244544029236,0.000000000113,protein_coding,rs3771371,PP
GRM7,68,,0.724934041500092,0.00000441,protein_coding,"rs9865843, rs2229902",DBP
CCDC41,69,,0.66277426481247,0.0000000000000000000000808,protein_coding,NA,PP
COPS4,70,,0.790076017379761,0.000000000391,protein_coding,NA,PP
LIN54,70,,0.762249231338501,0.0000000002665,protein_coding,"rs6535419, rs12649662, rs6823199","PP, SBP"
SEC31A,70,,0.662655830383301,0.0000000002625,protein_coding,NA,PP
THAP9,70,,0.815883755683899,0.000000000232,protein_coding,NA,"PP,SBP"
ASCC2,71,,0.593072235584259,0.000000000972,protein_coding,NA,PP
UQCR10,71,,0.55584990978241,0.0000000009835,protein_coding,NA,PP
ZMAT5,71,,0.851927280426025,0.0000000129,protein_coding,NA,"PP,SBP"
ARHGEF17,72,,0.725269258022308,0.00000000807,protein_coding,"rs3741151, rs2298807",DBP
FAM168A,72,,0.780761539936066,0.000000361,protein_coding,NA,DBP
P2RY6,72,0.75,0.851644277572632,0.0000000331,protein_coding,NA,DBP
RELT,72,,0.597227454185486,0.000000385,protein_coding,NA,DBP
OR4A40P,73,,0.118660986423492,0.000000000000000000000000014085,pseudogene,NA,SBP
OR4A43P,73,,0.102194614708424,0.0000000000000000000000151,pseudogene,NA,SBP
OR4A46P,73,,0.102020487189293,0.000000000000000000000000011625,pseudogene,NA,SBP
OR4A48P,73,,0.102194614708424,0.0000000000000000000000000127,pseudogene,NA,SBP
OR4C10P,73,,0.102194614708424,0.00000000000000000000000002835,pseudogene,NA,SBP
OR4C2P,73,,0.102194614708424,0.00000000000000000000000000259,pseudogene,NA,SBP
OR4C9P,73,,0.102194614708424,0.00000000000000000000000001845,pseudogene,NA,SBP
OR4R1P,73,,0.102194614708424,0.000000000000000000000000008885,pseudogene,NA,SBP
PRKD1,74,,0.876064002513886,0.00000003915,protein_coding,rs17115145,SBP
FBXL17,75,,0.793964385986328,0.000002885,protein_coding,rs286809,"PP,SBP"
STXBP5,76,,0.776785254478455,0.000000000809,protein_coding,"rs9390459, rs2328813, rs9373523","DBP,SBP"
HIPK2,77,,0.81315952539444,0.000000000000464,protein_coding,"rs7459106, rs1011018",SBP
TBXAS1,77,,0.827943384647369,0.000000000000426,protein_coding,NA,SBP
ARNTL,78,,0.914762437343597,0.0000000000000727,protein_coding,"rs900145, rs10832013",DBP
ABCB9,79,,0.700383901596069,0.000000000000047195,protein_coding,NA,DBP
OGFOD2,79,,0.823858678340912,0.0000000000000903,protein_coding,NA,DBP
PITPNM2,79,,0.761874079704285,0.0000000000000007585,protein_coding,NA,DBP
C11orf31,80,,0.421887427568436,0.000000000000000683,protein_coding,NA,PP
CLP1,80,,0.807887375354767,0.000000000000000433,protein_coding,NA,PP
CTNND1,80,,0.773909986019135,0.000000000000000182,protein_coding,NA,PP
MED19,80,,0.807530343532562,0.000000000000000156,protein_coding,NA,PP
OR5AZ1P,80,,0.102194614708424,0.000000000000328,pseudogene,NA,PP
OR5B3,80,,0.107716366648674,0.00000000000000001085,protein_coding,NA,SBP
OR5BA1P,80,,0.102194614708424,0.00000000000000025,pseudogene,NA,PP
TMX2,80,,0.443723797798157,0.000000000000000153,protein_coding,rs11607056,PP
TMX2-CTNND1,80,,0.634623646736145,0.000000000000000184,protein_coding,rs11607056,PP
ZDHHC5,80,,0.803198099136353,0.000000000000000119,protein_coding,rs10896636,PP
CHAC1,81,,0.71495133638382,0.00000000000000000000000399,protein_coding,NA,DBP
FAM92A1P1,81,,0.588009774684906,,pseudogene,NA,""
INO80,81,,0.787288129329681,0.0000000000000000000000000578,protein_coding,"rs12905926, rs2925345",DBP
STEAP2,82,,0.724978566169739,0.00000000000001105,protein_coding,"rs11770630, rs10270950, rs194520, rs194524",PP
CHST9,83,,0.849444389343262,0.000000000123,protein_coding,rs1154214,SBP
NEDD4L,84,1,0.866883218288422,0.000000041,protein_coding,rs7235890,DBP
MLIP,85,,0.956033706665039,0.0000000000917,protein_coding,"rs631441, rs562626",PP
ARRDC1,86,,0.877033174037933,0.001396,protein_coding,NA,DBP
C9orf37,86,,0.278676301240921,,protein_coding,NA,""
EHMT1,86,,0.807887375354767,0.0033515,protein_coding,NA,"DBP,SBP"
ZMYND19,86,,0.780761539936066,0.0020815,protein_coding,rs821317,DBP
FBN1,87,,0.843501925468445,0.0000000000000000000000000000000000000000000001245,protein_coding,"rs8036173, rs1848050, rs1036477",PP
POLN,88,,0.691483974456787,0.0000000000449,protein_coding,"rs55829085, rs9328764, rs10011549, rs10018786, rs11937432",DBP
CPEB4,89,,0.816446602344513,0.0000000000000000000000000286,protein_coding,"rs72812818, rs72812846",DBP
AKR1B10,90,,0.860425472259522,0.00000000328,protein_coding,rs1722886,"SBP, DBP"
ASXL3,91,,0.683172583580017,0.0000000000515,protein_coding,"rs10164193, rs7226575",DBP
MAST4,92,,0.6862673163414,0.000000003395,protein_coding,"rs4286632, rs1159201","SBP,DBP"
YAP1,93,,0.781730234622955,0.0000000000432,protein_coding,rs12807220,PP
WNT3A,94,,0.658195793628693,0.000000000000000000000121,protein_coding,"rs2760061, rs964941",DBP
ADSL,95,,0.852380812168121,0.000000000000000000419,protein_coding,NA,PP
SGSM3,95,,0.759653985500336,0.000000000000000000718,protein_coding,NA,PP
TNRC6B,95,,0.77061665058136,0.000000000000000000203,protein_coding,"rs139919, rs470113",PP
C17orf75,96,,0.765911817550659,0.0000000233,protein_coding,NA,SBP
CDK5R1,96,,0.799672365188599,0.000000000831,protein_coding,NA,SBP
MYO1D,96,,0.896230340003967,0.00000000289,protein_coding,NA,SBP
PSMD11,96,0.75,0.784932374954224,0.000000000689,protein_coding,rs9899540,SBP
ZNF207,96,,0.845670878887177,0.000000004725,protein_coding,NA,SBP
ARMS2,97,0.75,0.428560882806778,0.00000000000977,protein_coding,rs10490923,SBP
HTRA1,97,,0.610264718532562,0.00000000000837,protein_coding,"rs72834448, rs72834453",SBP
CD160,98,,0.533384442329407,0.0000000501,protein_coding,rs72704264,DBP
POLR3C,98,,0.877954721450806,0.0000000511,protein_coding,NA,DBP
RNF115,98,,0.501736760139465,0.000000129,protein_coding,NA,DBP
OPRM1,99,0.75,0.768885016441345,0.000000275,protein_coding,"rs540825, rs598682",DBP
EXOC6B,100,,0.717680811882019,0.000000005695,protein_coding,"rs10193543, rs1876490",DBP
REEP1,101,,0.733420372009277,0.000000000000243,protein_coding,"rs1010239, rs4832029, rs2003931",SBP
TRIP12,102,,0.79953795671463,0.0000000434,protein_coding,rs1044822,SBP
POLD3,103,,0.82001930475235,0.00000025,protein_coding,rs4420291,DBP
CWC27,104,,0.882744550704956,0.00000000181,protein_coding,rs6875372,"SBP, PP"
ARHGAP12,105,,0.722996413707733,0.000000000001105,protein_coding,"rs7905471, rs72786794",PP
EPC1,105,,0.80226457118988,0.00000000797,protein_coding,rs76164690,DBP
C12orf71,106,,0.143739834427834,0.000000000205,protein_coding,rs708167,SBP
MED21,106,,0.820364952087402,0.000000000226,protein_coding,NA,SBP
CDC25A,107,,0.758242011070252,0.00000000000000000000000000000000000000491,protein_coding,rs6797587,DBP
DHX30,107,,0.794453501701355,0.000000000000000000000000571,protein_coding,NA,DBP
MAP4,107,0.75,0.698748350143433,0.000000000000000000000000000000884,protein_coding,rs319690,DBP
SMARCC1,107,,0.790616273880005,0.0000000000000000000000168,protein_coding,NA,DBP
MAD1L1,108,,0.872030854225159,0.0000000000004225,protein_coding,"rs4721175, rs6959688","SBP,DBP"
DND1,109,,0.757855772972107,0.0000000000003765,protein_coding,NA,SBP
HARS,109,,0.763059973716736,0.000000000000133,protein_coding,NA,SBP
HARS2,109,,0.763076782226563,0.0000000000001076,protein_coding,NA,SBP
IK,109,,0.785652041435242,0.000000000000111,protein_coding,NA,SBP
NDUFA2,109,0.75,0.587086856365204,0.000000000000243,protein_coding,NA,SBP
PCDHA1,109,,0.258767545223236,0.00000000003275,protein_coding,"rs2240694, rs3822346, rs246074","SBP,PP"
PCDHA2,109,,0.217928305268288,0.000000000033,protein_coding,"rs2240694, rs3822346, rs246074","SBP,PP"
PCDHA3,109,,0.497425764799118,0.0000000000334,protein_coding,"rs2240694, rs3822346, rs246074","SBP,PP"
PCDHA4,109,,0.289997577667236,0.0000000000402,protein_coding,"rs3822346, rs246074","SBP,PP"
PCDHA5,109,,0.234459400177002,0.0000000000427,protein_coding,rs246074,"SBP,PP"
PCDHA6,109,,0.21505181491375,0.0000000000458,protein_coding,rs246074,"SBP,PP"
PCDHA7,109,,0.576634049415588,0.0000000000393,protein_coding,rs246074,"SBP, PP"
PCDHA8,109,,0.198248878121376,,protein_coding,rs246074,"SBP, PP"
TMCO6,109,0.75,0.766251742839813,0.000000000000543,protein_coding,NA,SBP
WDR55,109,,0.783263206481934,0.0000000000001845,protein_coding,"rs2251860, rs2286394",SBP
ZMAT2,109,,0.726166844367981,0.0000000000001195,protein_coding,rs702395,SBP
DNM3,110,,0.655480802059174,0.000000000154,protein_coding,"rs10489290, rs12404490, rs12405515",DBP
PIGC,110,,0.837109208106995,0.000000000000000000000953,protein_coding,rs12405515,DBP
RP11-1055B8.7,111,,0.384224772453308,0.00000000507,protein_coding,NA,SBP
AGMAT,112,,0.502139806747437,0.000000000000000141,protein_coding,NA,SBP
C1orf64,112,,0.102194614708424,0.0000000000000972,protein_coding,NA,DBP
CLCNKA,112,0.75,0.796018600463867,0.0000000000125,protein_coding,NA,DBP
DNAJC16,112,,0.837760746479034,0.000000000000000142,protein_coding,NA,SBP
HSPB7,112,,0.740765750408173,0.0000000000000718,protein_coding,rs1048238,DBP
MBNL2,113,,0.794665575027466,0.000000000248,protein_coding,rs55684003,DBP
HIP1,114,,0.802423179149628,0.000000156,protein_coding,rs1167827,SBP
PMS2P3,114,,0.501736760139465,0.00000012,pseudogene,NA,SBP
POM121C,114,,0.651927769184113,0.0000000454,protein_coding,rs6963105,SBP
POU2F1,115,,0.816259264945984,0.0000000123,protein_coding,rs7524019,DBP
SCN2A,116,0.75,0.732000291347504,0.000000234,protein_coding,rs2390258,DBP
BRD1,117,,0.780761539936066,0.000000536,protein_coding,rs77692990,"PP,SBP"
SLC22A3,118,,0.88077974319458,0.0000000000221,protein_coding,rs555754,PP
BCAR3,119,,0.738964855670929,0.000000808,protein_coding,rs7514579,SBP
CTAGE5,120,,0.411483585834503,0.00000000196,protein_coding,NA,SBP
FBXO33,120,,0.753604114055634,0.000000000378,protein_coding,NA,SBP
MIA2,120,,0.865638315677643,0.000000000677,protein_coding,NA,SBP
RP11-407N17.3,120,,0.533563375473023,0.00000000184,protein_coding,NA,SBP
AC069368.3,121,,0.613744854927063,0.00000000373,protein_coding,rs832890,PP
