Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose_Subcutaneous_GTExFC	Adipose_Visceral_Omentum_GTExFC	Adrenal_Gland_GTExFC	Artery_Aorta_GTExFC	Artery_Coronary_GTExFC	Artery_Tibial_GTExFC	Brain_Amygdala_GTExFC	Brain_Anterior_cingulate_cortex_BA24_GTExFC	Brain_Caudate_basal_ganglia_GTExFC	Brain_Cerebellar_Hemisphere_GTExFC	Brain_Cerebellum_GTExFC	Brain_Cortex_GTExFC	Brain_Frontal_Cortex_BA9_GTExFC	Brain_Hippocampus_GTExFC	Brain_Hypothalamus_GTExFC	Brain_Nucleus_accumbens_basal_ganglia_GTExFC	Brain_Putamen_basal_ganglia_GTExFC	`Brain_Spinal_cord_cervical_c-1`_GTExFC	Brain_Substantia_nigra_GTExFC	Breast_Mammary_Tissue_GTExFC	Cells_Cultured_fibroblasts_GTExFC	`Cells_EBV-transformed_lymphocytes`_GTExFC	Colon_Sigmoid_GTExFC	Colon_Transverse_GTExFC	Esophagus_Gastroesophageal_Junction_GTExFC	Esophagus_Mucosa_GTExFC	Esophagus_Muscularis_GTExFC	Heart_Atrial_Appendage_GTExFC	Heart_Left_Ventricle_GTExFC	Kidney_Cortex_GTExFC	Liver_GTExFC	Lung_GTExFC	Minor_Salivary_Gland_GTExFC	Muscle_Skeletal_GTExFC	Nerve_Tibial_GTExFC	Ovary_GTExFC	Pancreas_GTExFC	Pituitary_GTExFC	Prostate_GTExFC	Skin_Not_Sun_Exposed_Suprapubic_GTExFC	Skin_Sun_Exposed_Lower_leg_GTExFC	Small_Intestine_Terminal_Ileum_GTExFC	Spleen_GTExFC	Stomach_GTExFC	Testis_GTExFC	Thyroid_GTExFC	Uterus_GTExFC	Vagina_GTExFC	Whole_Blood_GTExFC	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	SDI	SignalValue_H3k4me1_median	SignalValue_H3k4me3_median	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	SIFT	PolyPhen	LoFtool	CADD_raw	DANN_score	Eigen-raw_coding	GERP++_NR	GERP++_RS	GenoCanyon_score	M-CAP_score	MetaLR_score	MetaSVM_score	MutationAssessor_score	DEOGEN2_score	PROVEAN_score	MutPred_score	REVEL_score	FATHMM_score	fathmm-MKL_coding_score	integrated_fitCons_score	GERP_Rankscore	PMIDB_Metabolite_interactor	interaction	SignalValue_H3k27me3_median	SignalValue_H3k9ac_median	SignalValue_H3k9me1_median	H4k20me1_count	SignalValue_H4k20me1_median	BPlabel
AC016885.1	NA	NA	NA	NA	1399	0.4977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	521	NA	NA	12.51592	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC018445.1	NA	NA	NA	NA	210	-0.3834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.766	NA	NA	NA	NA	245	NA	NA	171.18661	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6846	1.36934	NA	NA	least likely
AC020907.1	NA	NA	NA	NA	261	-0.4349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.39595	NA	NA	NA	NA	1268	NA	NA	4573.51533	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.58942	NA	1.20849	NA	NA	least likely
AC022532.1	NA	NA	NA	NA	21	-0.229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.12536	NA	NA	0.0504664637507207	0	1729	NA	NA	31.18816	NA	0.146139458	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.156115	NA	1.32827	3	2.08913	least likely
AC068620.1	NA	NA	NA	NA	846	0.4032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.83397	6.494215	19.80625	NA	NA	449	NA	NA	3024.54248	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.97514	1.29855	1	2.21986	least likely
AC090574.1	NA	NA	NA	NA	30	0.2594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.22414	11.3537	NA	NA	NA	232	NA	NA	2440.91385	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC091150.1	NA	NA	NA	NA	66	0.1789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	536	NA	NA	1631.49769	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.98991	NA	NA	3	1.14383	least likely
AC093677.1	NA	NA	NA	NA	105	0.3539	269.221848749616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.99874	46.6807	53.7687	NA	NA	758	NA	NA	86.29137	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.6302	1.22097	1	2.05483	least likely
AC108868.1	NA	NA	NA	NA	176	-0.4437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4120	NA	NA	10.46141	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC111200.1	NA	NA	NA	NA	135	1.0733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3804	NA	NA	0.31036	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.63032	NA	NA	NA	NA	least likely
AC117834.1	NA	NA	NA	NA	115	-0.4311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2148	NA	NA	7.54913	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.21359	2	1.15156	least likely
ACBD4	0.02	0.327	0	NA	80	0.5089	26.0969100130081	0.108274	0.129747	0.127277	0.124436	0.329856	0.114946	0.046359	0.142542	0.111951	0.254966	0.264815	0.169534	-0.343331	0.196448	0.215964	0.135342	0.143683	0.29971	-0.35559	0.189852	-0.194971	0.14253	0.088092	0.164342	0.1444	0.182662	0.096696	-0.182347	0.151086	-0.471042	-0.201564	0.158275	-0.235751	0.197453	0.164554	-0.245238	0.13	0.155903	-0.187296	0.153864	0.140473	0.137591	0.156017	-0.199881	0.195067	0.227652	-0.760294	0.206827	0.101097	0.14257	0	0	0	0	0	3	0	0	0	0	0.46	NA	NA	NA	NA	NA	NA	NA	7.52807	13.9069	8.79144	1.82643064951694e-05	21	11581	NA	NA	139.59497	1	0.123297259	0	0	NA	NA	NA	NA	1	0.476	0.822	0.86297	0.967267296319526	-0.761450132929968	5.47	0.682	0.894374468981352	0.005532	0.0253	-0.9938	NA	0.021495	-1.96	0.217	0.004	2.73	0.0679	0.660377	NA	NA	NA	NA	10.891	1.1924	NA	NA	most likely
ACE	0.278	0.712	0.531	NA	17	-0.433	13.1549019599857	-0.329265	-0.332614	-0.713167	-0.326273	-2.652866	-3.331605	1.613899	2.700781	-0.597566	-0.532507	-0.509752	-0.202015	-0.346445	1.161607	1.038854	0.050503	-0.879318	0.926871	1.568196	0.944708	-0.60998	2.159244	-0.515339	0.874487	-0.844606	0.89312	-1.407942	-2.307333	-6.643856	1.735656	0.402958	0.722897	-4.321279	-1.607966	-0.316966	0.285139	-0.696629	0.926743	-2.775792	-0.327757	-0.385567	-0.38331	0.719534	0.385561	0.354105	0.462274	4.581918	0.857122	-0.791088	0.034431	0.930627006	0.816284141	0.930627006	0	0.524991347	3	0	0	0	3	-0.57	52	0	0.0259002	1	0.0216678	0.022	7.94256213	6.08771	6.52609	8.17879	4.63282874453648e-18	6	44787	NA	NA	1006.9095	1	0.158249199	1	0	NA	NA	2.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.93597	5.82611	NA	NA	NA	most likely
ACMSD	NA	NA	NA	NA	39	-0.3064	13.2218487496164	NA	NA	-2.161169	NA	NA	NA	NA	NA	NA	-0.657327	0.574404	NA	NA	NA	NA	NA	NA	-0.875467	NA	0.942147	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.750402	0.450931	-6.643856	NA	NA	NA	-6.643856	0.751842	0.671513	NA	NA	NA	-6.643856	NA	NA	-0.358025	0.998161	NA	NA	NA	0.018016	0.511962808	0	0	0	0.511962808	NA	0	0	0	0	-0.4	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	1.98871537094846e-07	1	63487	NA	NA	73.5044	NA	0.435617685	1	2	NA	NA	NA	NA	NA	NA	0.344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.77289	NA	1.23499	NA	NA	possible
ACOX1	NA	NA	NA	NA	112	0.4655	27.698970004336	-0.084975	-0.126569	0.418403	0.332192	0.194477	0.104955	0.423115	-0.219034	0.263502	-0.36657	0.097961	-0.302262	0.249961	-0.191597	0.571401	0.056083	0.302392	-0.48562	0.473762	0.453982	0.247423	0.662087	0.066698	-0.077848	-0.086124	-0.212427	0.12224	-0.397907	0.184931	-0.784623	-2.721374	0.067978	0.090884	0.166064	0.160341	0.845702	0.136719	0.131111	0.366615	-0.331836	0.08164	0.700151	-0.286211	0.09636	-0.192889	0.109013	0.148831	-0.678323	-0.347759	0.17647	0	0	0	0	0	NA	0	0	0	0	0.13	NA	NA	NA	NA	NA	NA	9.41746522	7.01009	6.60654	9.7137	0.0944353057008641	9	37927	NA	NA	194.54546	NA	0.75617367	1	2	0.256505292994757	NA	NA	0.615458258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	10.4929	1.91677	67	2.01771	possible
ACTA2	NA	NA	NA	NA	251	-0.2944	7	0.762475	0.596072	-0.454888	-0.046106	0.740259	-0.068686	1.310517	-6.643856	1.132045	-3.573813	-1.677822	-0.609726	1.469023	-4.666579	0.790604	-0.530516	-6.643856	-6.643856	1.41396	-1.030139	-0.514345	-0.798696	0.77782	0.500749	0.22366	-0.105874	0.071847	-0.643717	0.481303	-6.643856	1.574197	0.749061	0.799804	0.153938	-0.420131	-0.256048	0.584603	0.492867	0.260422	-0.8075	0.223313	-0.662572	-0.387292	-0.201286	-0.125782	0.398188	0.234311	-6.643856	-0.769806	0.093846	0.957427108	0.957427108	0.8266041	0	0.507838955	NA	0	0	0	0	-0.27	NA	0.904762	0.0194662	1	0.0388885	0.035	9.88631356	5.00635	30.0452	7.60176	0.734223241103143	1	56316	NA	NA	3.60496	1	0.698045254	1	0	NA	6.3402	NA	NA	NA	NA	0.129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23918	FALSE	NA	11.4824	9.5096	1.23834	123	1.08456	possible
