Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pancreas_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	Adipose_Subcutaneous_GTExFC	Adipose_Visceral_Omentum_GTExFC	Adrenal_Gland_GTExFC	Artery_Aorta_GTExFC	Artery_Coronary_GTExFC	Artery_Tibial_GTExFC	Brain_Amygdala_GTExFC	Brain_Anterior_cingulate_cortex_BA24_GTExFC	Brain_Caudate_basal_ganglia_GTExFC	Brain_Cerebellar_Hemisphere_GTExFC	Brain_Cerebellum_GTExFC	Brain_Cortex_GTExFC	Brain_Frontal_Cortex_BA9_GTExFC	Brain_Hippocampus_GTExFC	Brain_Hypothalamus_GTExFC	Brain_Nucleus_accumbens_basal_ganglia_GTExFC	Brain_Putamen_basal_ganglia_GTExFC	`Brain_Spinal_cord_cervical_c-1`_GTExFC	Brain_Substantia_nigra_GTExFC	Breast_Mammary_Tissue_GTExFC	Cells_Cultured_fibroblasts_GTExFC	`Cells_EBV-transformed_lymphocytes`_GTExFC	Colon_Sigmoid_GTExFC	Colon_Transverse_GTExFC	Esophagus_Gastroesophageal_Junction_GTExFC	Esophagus_Mucosa_GTExFC	Esophagus_Muscularis_GTExFC	Heart_Atrial_Appendage_GTExFC	Heart_Left_Ventricle_GTExFC	Kidney_Cortex_GTExFC	Liver_GTExFC	Lung_GTExFC	Minor_Salivary_Gland_GTExFC	Muscle_Skeletal_GTExFC	Nerve_Tibial_GTExFC	Ovary_GTExFC	Pancreas_GTExFC	Pituitary_GTExFC	Prostate_GTExFC	Skin_Not_Sun_Exposed_Suprapubic_GTExFC	Skin_Sun_Exposed_Lower_leg_GTExFC	Small_Intestine_Terminal_Ileum_GTExFC	Spleen_GTExFC	Stomach_GTExFC	Testis_GTExFC	Thyroid_GTExFC	Uterus_GTExFC	Vagina_GTExFC	Whole_Blood_GTExFC	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	CpGcount	DNaseCluster_count	EnhancerCount	SDI	H3k4me1_count	SignalValue_H3k4me1_median	H3k4me3_count	SignalValue_H3k4me3_median	H3k27Ac_count	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	PolyPhen	DANN_score	CADD_RAW	Eigen-raw_coding_rankscore	GenoCanyon_rankscore	M-CAP_rankscore	MetaLR_rankscore	MetaSVM_rankscore	MutationAssessor_rankscore	REVEL_score	fathmm-MKL_coding_score	integrated_fitCons_rankscore	LoFtool	GERP_Rankscore	BPlabel
BANP	NA	NA	NA	NA	355	0.2883	36	4.59385	4.53455	3.36619	5.5577	5.24774	5.6288	5.82114	1.789	2.24964	1.8179	8.42132	8.37559	2.98876	2.77044	2.18239	2.31593	1.92225	1.59161	2.62545	1.7941	5.11278	4.82539	5.16217	7.52227	8.47388	4.84067	4.06364	4.89321	3.51185	4.75289	8.00296	2.18676	1.4585	2.72673	4.07864	2.87428	5.53535	4.5683	2.27217	7.01085	8.28604	1.6866	6.91817	5.59507	4.39194	4.75209	4.89747	8.04353	3.29556	10.1736	6.6067	8.03481	5.47779	6.02471	-0.261894	0.53982	-0.322083	-0.163644	-0.254656	-0.393189	-0.18353	-0.647115	-0.374425	0.327862	0.152535	0.212672	-0.503819	-0.350146	-0.150312	-0.814198	-1.279079	-1.119437	-0.47482	-0.121195	-0.076063	0.194267	-0.115967	-0.213677	-0.43312	-0.081628	0.232111	-0.137437	-0.155794	0.760966	0.30469	-0.199309	0.205768	0.126737	0.346858	0.392962	-0.197686	0.52393	-0.20832	0.111457	-0.295155	0.661457	-0.260493	-0.24805	0.275793	0.186309	-1.672781	-0.75239	0.251981	0.0059342	0.500048032	0	0	0	0.500048032	NA	NA	NA	NA	NA	-0.82	NA	NA	NA	NA	NA	NA	30	247	2184	0.75300147	251	10.7866	230	4.59153	328	24.6217	0.958647667807905	5	128074	NA	NA	798.42168	NA	0.782960892	0	0	2.7583732876265	0.014776	NA	0.756153256	0.999	0.998777835683683	3.610163	0.63075	0.74766	0.66835	0.67519	0.70301	0.57729	0.129	0.89077	0.92422	0.0438	0.69459	unknown
BAZ2A	0.176	0.273	0.049	NA	48	-0.4102	363.698970004336	49.4018	35.9296	31.7106	39.8287	40.6857	46.6207	45.0078	8.30496	8.96885	9.21323	44.2124	51.0671	14.2938	11.8133	8.88958	10.3536	8.76485	7.7858	13.0698	9.52328	47.3285	37.7337	63.4268	55.1305	59.6845	40.5312	34.7012	41.4689	39.0744	38.7841	50.9819	15.7743	11.4099	15.9982	20.462	12.5254	61.3877	36.9037	18.3997	70.4179	65.4084	17.5098	51.8856	41.5244	45.5454	49.3989	42.937	55.1987	27.815	69.336	55.8134	61.5238	52.328	29.8162	0.056451	0.042759	-0.071838	-0.045683	0.232804	-0.126777	-0.534528	-0.056645	0.314583	0.228923	0.220747	-0.120726	0.348442	0.196185	0.095374	-0.315852	-0.115909	0.36153	-0.07605	0.032812	0.043243	0.074791	0.026265	0.089215	0.033523	0.024263	0.088285	-0.233042	0.133728	-0.41125	-0.276502	0.150628	0.077099	-0.041082	0.113882	0.43763	-0.074046	0.18553	-0.287819	0.037381	0.050278	-0.053295	0.21338	0.216823	0.195607	-0.10009	0.195712	-0.327122	0.074611	0.010785	0.500159041	0	0	0	0.500159041	NA	NA	NA	NA	NA	-1.39	NA	NA	NA	NA	NA	NA	2	22	42	4.70330618	21	8.30229	36	19.5838	30	9.11144	0.999999725956371	11	41220	NA	NA	326.9189	1	0.735656083	0	0	5.44065203668472	NA	NA	1.220020979	0.903	0.997327034234238	3.848823	0.85303	0.74766	0.6691	0.85808	0.80746	0.81625	0.571	0.99554	0.73137	0.624	0.95888	unknown
BCAP29	NA	NA	NA	NA	79	0.1406	7.52287874528034	20.8692	17.4495	9.05889	39.2134	31.4664	30.5469	15.6505	10.5458	14.4918	11.472	23.6717	17.7576	15.3799	24.0846	10.4452	11.9014	11.0463	9.59907	23.4841	11.8882	17.7421	21.2975	7.18178	41.5515	32.9184	21.2429	13.1032	20.3242	13.2794	20.8153	19.0376	12.241	11.8739	4.84321	6.43138	4.768	19.3878	9.54634	10.6377	22.1446	16.4378	4.1376	8.21782	15.2409	12.367	11.9863	8.95333	9.60092	8.2095	30.2565	37.4319	29.1801	21.8708	2.03459	-0.050945	0.34408	0.121043	0.246563	0.21062	0.101098	0.116791	-0.283632	0.15373	0.064327	-0.058351	0.100173	-0.095792	-0.204046	0.242581	-0.291177	0.201201	0.12252	-0.135318	0.123172	0.07184	0.651669	0.342485	0.204251	0.083992	0.040404	0.17602	0.108116	0.094226	0.730356	-0.355129	0.105618	0.464282	0.365014	0.083039	0.13436	0.449211	-0.336227	0.177564	0.234672	-0.192934	-0.265569	0.142338	-0.07597	-0.201139	0.144968	0.4173	0.144607	0.362115	0.030327	0.500007003	0	0	0	0.500007003	NA	NA	NA	NA	NA	0.17	NA	NA	NA	NA	NA	NA	1	13	2	3.88790438	183	10.7722	27	9.56953	120	8.75366	0.220058296267505	4	49193	NA	NA	329.90016	NA	0.313711941	0	0	NA	NA	NA	NA	NA	NA	1.620762	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.98	NA	unknown
BCAR3	NA	NA	NA	NA	443	0.3666	12.2218487496164	21.9013	22.0127	10.5323	17.226	16.8724	14.1271	18.1773	5.57202	5.0845	8.64311	4.30695	6.30589	6.04162	5.93072	3.56198	5.16771	7.48469	6.42662	5.90438	6.36936	21.7493	25.6707	1.6132	12.0796	12.4605	11.6861	11.1163	12.7078	6.82298	11.5941	9.41219	6.38345	4.57913	7.31548	10.9565	3.88022	18.926	9.32551	10.2367	25.5452	12.3233	1.47939	5.42804	11.0314	15.1676	17.5044	9.48962	4.83836	8.28332	9.89492	14.9617	9.9141	13.0431	0.152511	-0.178769	0.273666	-0.180634	-0.30862	0.966891	-0.256557	-0.236418	0.616548	1.90929	-1.321507	-0.548081	-0.211023	0.282221	-0.239157	-0.783448	0.171521	-0.160279	-0.229503	0.154814	-0.077227	0.181248	-0.715183	-1.179339	-0.733906	-0.240896	0.256592	-0.169636	-0.447281	0.296281	-1.070817	1.27837	-0.324066	-0.290792	0.457838	-0.078704	-0.189237	-0.330895	-1.110229	0.901213	-0.35763	-0.559562	0.110408	-0.381988	-0.733372	0.123163	0.21349	0.308445	-0.340866	-4.509982	0.0030734	0.50115816	0	0	0	0.50115816	NA	NA	NA	NA	NA	0.26	NA	0	0.00595238	0	0.00688236	0.007	3	314	9022	0	1477	10.1039	497	7.62611	894	12.5936	0.916779854975838	0	285359	NA	NA	597.29767	NA	0.748882174	0	0	NA	NA	NA	NA	0.999	0.99490861439198	2.512647	0.53235	0.74766	0.75354	0.80063	0.82238	0.46185	0.388	0.94455	0.48532	0.481	0.86108	unknown
BCAS3	NA	NA	NA	NA	14	-0.4253	94	8.07138	5.48206	7.75182	12.7793	11.337	15.2262	10.7998	3.78868	5.72259	4.93256	9.66688	10.2727	10.2065	9.55881	4.24382	5.28617	5.12853	4.39452	7.1883	4.80086	7.42485	4.84351	3.03643	9.00173	9.36595	8.41258	4.64314	8.46612	5.90138	8.29314	8.54918	3.73906	2.72824	4.13845	4.30598	2.53301	10.2451	6.17422	5.7798	11.4104	6.83822	2.0993	5.82644	8.84413	9.30906	10.4135	4.81047	5.95962	5.24773	13.0507	8.63	9.85093	8.40304	3.82891	-0.032478	-0.279326	0.534629	0.145204	-0.172574	-0.188055	0.622051	0.425746	0.294336	-0.173014	-0.259625	0.059336	-0.137742	0.077238	-0.20397	0.231576	0.156334	0.329927	-0.213626	-0.24734	0.08602	-2.41603	-0.360194	0.089974	-0.280178	-0.343331	-0.202196	-0.419313	-0.059566	0.172916	0.163997	0.176095	0.749904	0.122609	0.060441	-0.627635	0.197567	0.504156	0.378341	0.414684	0.248337	-0.08793	0.43289	-0.268279	-0.443984	-0.148211	-0.311759	0.267407	-0.380897	0.0023518	0.501665999	0	0	0	0.501665999	NA	NA	NA	NA	NA	-0.75	NA	NA	NA	NA	NA	NA	NA	167	NA	7.71259058	164	5.79009	NA	NA	21	5.04209	0.998848201672345	9	715385	NA	NA	343.97696	1	0.681530118	0	0	NA	NA	NA	NA	NA	NA	2.052044	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.884	NA	unknown
BCKDHB	NA	NA	NA	NA	60	0.1773	77.1549019599858	14.4133	11.8609	10.4203	17.6931	16.2497	21.063	16.1541	7.12078	8.31836	7.10876	9.01013	8.83322	8.91869	9.6177	6.81756	6.73486	7.15982	6.44988	11.9685	8.51051	15.5158	13.9167	18.9316	14.3223	13.9186	13.1166	14.3403	14.6631	9.5637	13.9219	16.4472	7.20155	7.63775	8.58639	8.08275	18.5575	9.41521	14.5068	3.73899	22.722	20.4095	5.70024	12.5979	14.2234	9.27107	9.28013	12.3281	5.43062	14.9678	13.869	15.4347	14.7676	12.2961	0.735594	-0.077993	-0.130046	0.318009	-0.174319	0.511197	-0.155586	-0.232478	-0.277332	-0.169903	-0.68965	0.350033	-0.232506	-0.52847	-0.291684	0.203836	0.294499	-0.119071	-0.662288	-0.839088	0.256278	-0.266348	0.555083	-0.175356	-0.160625	-0.205499	0.172395	-0.169177	-0.329974	0.102251	-0.233129	-0.254816	-0.126084	-0.861726	-0.118034	0.124116	0.207479	0.19158	0.181465	0.066574	0.17181	0.126144	0.639373	-0.146247	0.201517	0.098661	-0.117817	0.672687	0.50848	0.323882	0.030092	0.500492168	0	0	0	0.500492168	NA	NA	NA	NA	NA	-0.45	NA	NA	NA	NA	NA	NA	2	80	27	2.33168567	456	10.1194	128	15.8385	285	9.15191	0.00000291008815830628	7	239623	NA	NA	37.41729	1	0.204349279	0	0	NA	NA	NA	NA	NA	NA	2.291095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
BCL7A	NA	NA	NA	NA	9	0.4814	77.1549019599858	4.09014	3.73645	3.15281	8.86108	6.66362	10.1568	7.71159	7.39309	11.353	9.99899	28.8548	26.6037	16.1144	18.7478	7.26694	7.179	12.0915	8.09685	5.46233	5.35623	5.62314	3.83921	6.12344	9.30233	8.83695	6.57269	3.98601	4.59538	3.42703	4.57061	10.1149	5.59413	5.03127	6.85366	9.87199	3.15791	6.95476	7.13841	6.49408	3.89417	5.63307	5.46817	10.7346	8.27457	11.7594	10.847	4.15853	5.15722	4.40556	4.62942	13.9109	7.26262	8.18246	0.6116	0.151608	0.119492	0.814925	0.180318	-1.275729	0.123	0.143182	0.138909	0.136691	-0.278985	-0.204679	0.291432	0.076194	-0.441034	-0.560537	0.176472	0.141718	0.216795	-1.792674	-0.243246	-0.183358	-6.643856	0.197348	0.181009	0.262643	-0.26464	0.27335	0.091993	0.585986	-0.251986	0.443442	0.270598	-0.468457	0.549014	0.189678	0.41858	0.215772	0.294319	-0.124405	-0.404365	-0.164712	0.573247	-0.316538	-0.444585	-0.632855	-0.139613	-1.129099	0.642801	-0.45077	0.017474	0.500002164	0	0	0	0.500002164	NA	NA	NA	NA	NA	0.08	NA	0	0.0141643	0	0.0946423	0.078	NA	31	48	NA	89	8.09108	29	11.8757	43	8.39393	0.215729268155923	0	42620	NA	NA	8.12338	NA	0.639933527	0	0	2.7583732876265	NA	NA	NA	0.97	0.996592289306879	3.425909	0.69064	0.98316	0.41765	0.68874	0.71366	0.51832	0.146	0.88279	0.8544	0.22	0.96695	unknown
BCL7C	NA	NA	NA	NA	68	-0.1707	8.69897000433602	15.7806	13.2201	9.32343	23.8689	21.2864	24.4858	21.5373	6.39913	6.13233	6.46418	11.9792	10.8652	5.1002	5.38567	5.37065	8.85328	7.6424	6.15383	9.67097	8.12342	16.2266	21.5314	8.57938	31.2081	29.1115	20.7248	12.9564	18.7606	12.83	17.3838	21.777	8.67211	7.0424	9.95492	16.8414	4.59338	14.7083	9.71969	4.95097	23.6952	27.5934	4.20546	15.4817	20.3442	19.3483	20.6156	11.661	12.2858	10.1695	24.6256	20.6609	24.2025	19.9768	4.55751	-0.064379	0.282526	0.115645	0.100382	0.152703	0.043113	-0.882234	0.574899	-0.332944	0.262588	0.201846	-0.201911	0.155665	0.119988	-0.41229	-0.149832	0.141687	-0.244712	0.203246	0.188957	-0.090381	0.143605	0.087067	-0.401023	0.228778	-0.142002	0.144633	0.101122	0.069672	0.365725	-0.15904	0.033436	-0.11856	0.312387	0.171275	0.45244	-0.215025	-0.081815	-0.643131	-0.167637	-0.122387	-0.227568	0.44688	0.229021	-0.373421	-0.060325	0.155378	-0.171933	0.064025	0.099803	0.500002927	0	0	0	0.500002927	NA	NA	NA	NA	NA	-0.19	NA	NA	NA	NA	NA	NA	3	13	16	NA	35	9.00009	23	24.2855	17	20.6842	0.150443662576109	3	61334	NA	NA	NA	1	0.311623305	0	0	NA	NA	NA	0.348623066	NA	NA	1.147972	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.663	NA	unknown
BDH2	0.066	0.113	0.003	NA	527	-0.5233	8.22184874961636	52.0307	50.6513	87.3317	74.3847	68.3368	72.404	58.4733	29.3021	30.0937	33.8767	7.93346	9.82523	28.6358	27.4231	20.7554	26.4331	29.5335	32.1412	43.7489	39.1372	60.6048	44.4369	21.6047	99.114	98.8128	44.0326	33.9641	53.8027	26.4262	43.4544	76.7113	26.4296	12.2434	78.1508	81.9243	34.5907	50.0359	37.6163	11.9229	72.476	88.6102	11.17	38.8288	51.5786	33.1986	35.4347	46.8517	28.7531	34.5462	24.4922	101.176	72.4686	56.7415	1.57658	0.431391	0.396334	0.461535	0.537358	0.496686	0.455536	0.312597	0.341161	0.28049	0.307674	0.285465	0.334149	0.238166	0.317901	0.467865	0.345273	0.333059	0.352997	0.470135	0.463008	0.175646	0.220865	0.524184	0.457567	0.585085	0.320485	0.541337	0.480551	0.4082	-2.060334	0.625564	0.45129	0.542921	0.430229	0.420107	0.533697	0.519	0.617419	0.684143	0.41445	0.357481	0.492424	0.531354	0.534411	0.324961	0.468369	0.395375	0.435736	0.424911	0.16554	0.500303742	0	0	0	0.500303742	NA	NA	NA	NA	NA	0.22	NA	NA	NA	NA	NA	NA	NA	6	4	3.71630992	34	7.67173	26	60.7695	27	14.9323	0.00000405062122865546	3	20448	NA	NA	187.57451	NA	0.352169782	0	0	NA	NA	NA	NA	NA	NA	0.611719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
BDNF-AS	NA	NA	NA	NA	44	0.6005	16.5228787452803	1.55952	1.27877	3.18973	1.73977	1.94586	1.54555	2.052	5.03006	4.44691	4.93263	2.78446	3.01321	4.09142	4.44749	4.57197	4.72321	4.78313	4.69256	11.8183	6.34646	2.11614	2.26225	0.714512	2.3359	3.20655	1.52243	1.29833	1.45282	0.871048	1.22565	2.83029	1.19477	0.654873	1.87829	2.8973	0.884741	1.33042	2.08451	0.355455	5.17996	3.33368	0.909839	4.28315	2.77663	2.38683	2.55279	1.10675	1.06477	1.36982	3.24368	4.27032	2.90685	2.00049	0.0468091	0.231277	0.27037	0.20316	0.300188	0.203383	0.243166	0.152074	0.207099	0.19448	-0.187223	-0.15939	0.179643	0.201278	0.182888	0.14255	0.218245	0.19227	0.165632	-0.960715	0.231053	0.215191	0.520637	0.1866	0.22219	0.190841	0.25042	0.229722	-0.170821	0.239088	-0.276712	0.200886	0.275807	0.315836	-0.694184	0.221625	0.318617	0.232344	0.178724	-0.921311	0.152519	0.234635	-0.444299	0.395021	0.213813	0.137422	0.208399	0.278383	-2.593494	0.481318	0.025854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	4	NA	30	8.197265	9	47.3369	9	19.9574	NA	NA	191336	NA	NA	NA	1	NA	0	0	NA	NA	3.25	NA	0.999	0.939946822685375	4.297808	0.89519	0.74766	0.89949	0.85277	0.86711	0.80626	0.848	0.99098	0.73137	0.212	0.98982	unknown
BEND3P2	NA	NA	NA	NA	190	-0.3079	15.5228787452803	0	0	0	0	0	0	0	0	0	0	0.053662	0.0797684	0	0	0	0	0	0	0	0	0	0	0	0.0480667	0.0347726	0	0	0	0	0	0.0300329	0	0	0	0	0	0.0318541	0	0	0.0863326	0	0	0	0	0	0	0	0.02316	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.976102	-0.878307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.91941	NA	NA	1.107877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2253	NA	NA	NA	NA	NA	0	0	NA	0.0031146	NA	NA	NA	NA	0.415096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown
BEND7	NA	NA	NA	NA	26	0.3836	17.698970004336	5.41564	5.18491	3.26467	5.36133	5.48509	7.62536	5.95918	1.27965	1.55925	1.61601	9.01227	8.41356	1.55178	1.54478	1.07892	2.09127	1.61585	1.25596	1.2515	1.66434	6.80718	1.13542	0.0189334	6.3306	7.13357	8.53251	5.09688	6.27625	1.18722	6.34693	10.6875	2.09475	1.83059	7.03874	7.04399	2.50503	6.97334	10.4689	4.16428	7.65052	7.82064	3.37656	9.09834	5.07019	1.59652	2.09101	7.24578	2.20533	5.78263	12.5425	16.0289	8.86705	3.28905	0.431634	0.379341	0.375872	-0.158243	-0.172664	0.662094	0.212057	-0.29585	0.270634	-0.200627	0.432466	0.492454	-0.121963	-1.780645	-0.209634	1.214255	-0.213029	-0.207057	-0.452449	0.720697	0.126504	0.4929	NA	-0.13783	0.269726	0.219417	0.251213	0.205572	0.123403	0.121927	-0.231604	0.217308	0.131503	-0.048857	0.127524	0.097954	0.74841	-0.091636	-0.150592	0.291294	-0.482194	0.081149	0.223721	-0.250679	0.113562	-0.178644	0.742153	-0.207988	-0.252662	0.501868	0.0093914	0	0	0	0	0	NA	NA	NA	NA	NA	-0.33	NA	NA	NA	NA	NA	NA	7	80	30	0	63	9.61098	47	7.64238	35	13.9405	0.01119032203323	0	90490	NA	NA	400.83401	1	0.379805952	0	0	NA	NA	NA	NA	0.814	0.997010062221829	2.419152	0.55875	0.74766	0.46126	0.53511	0.63082	NA	0.179	0.83084	0.92422	0.806	0.34476	unknown
BLK	0.037	NA	NA	NA	58	-0.3215	34.698970004336	0.177716	0.287944	0.144155	0.0772712	0.148734	0.0243111	0.173928	0.0155843	0.017309	0.0146895	0.0826998	0.114064	0.0234036	0.015831	0.0275023	0.0454243	0.0119857	0.0144139	0.033636	0.033323	0.21921	0.449292	103.759	0.139839	0.14976	0.057101	1.25066	0.0352915	0.721146	0.0350324	0.547763	0.0499761	0.0158346	0.485439	0.329341	0.538066	1.44239	0.632772	0.0129238	0.0818147	0.0744725	0.042697	0.12851	0.258154	0.101552	0.0564942	25.4805	82.0811	0.721403	0.402078	0.451814	0.0801173	0.170672	6.58378	-0.918932	0.705313	1.407737	-0.718451	3.878241	NA	NA	NA	NA	-0.836543	0.650698	NA	NA	NA	NA	NA	NA	NA	NA	-0.789838	-1.66086	-0.767863	-1.295758	-6.643856	NA	0.81568	NA	0.827662	NA	1.470163	-0.761134	-0.641539	0.610325	NA	-0.905363	-3.129353	NA	1.491979	-3.507991	-1.067868	-1.047024	-1.208548	-0.452078	1.599693	-0.212563	-0.547067	1.988327	-1.509571	-0.48529	0.03815	0.501789704	0	0	0	0.501789704	NA	NA	NA	NA	NA	-0.35	NA	0.0666667	0.00250627	0	0.00423484	0.005	8	128	715	1.95814	889	9.95348	177	9.94518	167	8.46502	0.000000286165843035065	30	70603	NA	NA	175.48813	NA	0.412265569	0	0	NA	NA	NA	NA	NA	NA	1.459376	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.576	NA	unknown
BLOC1S5	NA	NA	NA	NA	21	-0.1865	14.2218487496164	11.6377	8.57569	8.79992	11.3236	9.69721	11.568	10.8692	2.76568	2.61805	3.13784	3.94136	3.12274	2.6049	3.03391	2.45118	3.31427	3.05849	2.57676	4.58989	3.29027	10.3859	12.8074	18.4087	12.2069	12.095	8.5176	6.47042	7.31376	6.35841	7.4426	8.22138	3.91406	2.73064	10.0777	15.7	4.67889	7.20815	6.81633	4.21314	10.9794	10.544	2.55665	5.44038	8.36818	8.45555	9.11255	6.82811	8.06971	5.63379	5.87402	10.0443	11.4119	9.72045	3.02159	0.095448	-0.093885	-0.098467	0.101506	-0.208915	0.074441	0.154871	-0.719483	-0.49363	0.305246	0.385397	-0.318505	-0.165263	0.57032	-0.134301	0.168628	0.197059	0.473032	-0.322325	-0.098996	0.200783	0.172319	0.098545	-0.093925	-0.516836	-0.115361	0.063468	-0.237418	0.440726	0.494704	0.5848	0.091336	0.121242	-0.262477	-0.096756	-0.381955	0.377538	0.1341	0.092478	-0.121489	-0.092012	-0.501921	0.074727	-0.189371	-0.130686	-0.250345	-0.857964	0.175057	-0.168531	0.044596	0.500193026	0	0.395367293	0	0.500193026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	24	20	2.95584499	310	8.05418	161	4.69083	169	9.07086	0.0000160196837053719	3	50847	NA	NA	38.63623	NA	0.165942669	0	0	NA	NA	NA	NA	0.254	0.998102840582759	5.378304	0.51274	0.12663	0.15161	0.37239	0.26416	0.76081	0.059	0.94639	0.92422	NA	0.52588	unknown
BLZF1	0.092	0.057	0.226	NA	1260	0.8346	19.698970004336	11.5755	10.5187	8.88229	16.5881	16.2372	18.2533	12.69	5.01114	5.83602	5.29943	9.70455	8.65853	6.21987	7.52162	5.0509	6.18774	5.59649	4.32014	9.57946	5.8266	11.4676	24.4997	10.6451	16.7359	15.7053	14.0359	9.21539	12.826	20.374	13.4882	12.8585	6.64583	4.77683	5.9857	8.68224	4.10775	11.3378	11.0174	5.05352	16.5057	14.8564	3.8247	12.2743	11.972	10.7886	10.958	8.28163	7.65375	7.42499	25.9846	13.5373	15.9847	19.9715	2.26922	0.092873	0.142478	-0.286398	0.10016	0.123297	-0.085227	-0.719451	0.586996	-0.263896	-0.287153	-0.196649	0.177339	0.286281	-0.078746	-1.262875	-0.108815	-0.48396	-0.39805	-1.720282	0.09552	-0.076032	-0.165062	0.210738	-0.108991	-0.324785	-0.10123	-0.065058	-0.346785	-0.293441	0.378662	-0.231107	-0.056187	0.360069	-0.062249	-0.277835	-0.744541	0.124332	0.171936	0.399444	-0.113438	0.229099	0.283291	0.375607	0.299791	0.052415	-0.15417	0.554872	-0.673355	-0.280622	0.092132	0.500029228	0	0	0	0.500029228	NA	NA	NA	NA	NA	1.28	NA	NA	NA	NA	NA	NA	NA	6	6	4.39826844	97	6.39306	25	59.9333	36	29.2499	0.00000704847210432784	2	28570	NA	NA	1756.24457	1	0.29246527	0	0	NA	NA	NA	NA	NA	NA	0.923397	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.835	NA	unknown
